"train/epoch","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_rms_norm","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_rms_norm__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_rms_norm__MAX","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_rms_norm","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_rms_norm__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_rms_norm__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MAX"
"60","3.402196228504181","3.358644485473633","3.467055320739746","3477","3477","3477","2.790383815765381","2.7553534507751465","2.853800058364868","3477","3477","3477"
"61","3.401687800884247","3.363487958908081","3.462113380432129","3534","3534","3534","2.7956842184066772","2.7602193355560303","2.8593814373016357","3534","3534","3534"
"62","3.407357335090637","3.3694281578063965","3.4625425338745117","3591","3591","3591","2.8013808727264404","2.765172004699707","2.866239547729492","3591","3591","3591"
"63","3.4140127301216125","3.3703320026397705","3.471346616744995","3648","3648","3648","2.8063830137252808","2.7694501876831055","2.871358871459961","3648","3648","3648"
"64","3.418900728225708","3.380829334259033","3.4707794189453125","3705","3705","3705","2.811772108078003","2.7749109268188477","2.877913475036621","3705","3705","3705"
"65","3.421097755432129","3.3828864097595215","3.4762566089630127","3762","3762","3762","2.81724214553833","2.7796778678894043","2.8838911056518555","3762","3762","3762"
"66","3.4231361746788025","3.382383346557617","3.480863094329834","3819","3819","3819","2.822420060634613","2.7842018604278564","2.8901162147521973","3819","3819","3819"
"67","3.4256961345672607","3.3842430114746094","3.482769012451172","3876","3876","3876","2.8276917934417725","2.7895450592041016","2.8956665992736816","3876","3876","3876"
"68","3.430464029312134","3.3879802227020264","3.4849672317504883","3933","3933","3933","2.832655966281891","2.794501304626465","2.9014322757720947","3933","3933","3933"
"69","3.4333903193473816","3.3912410736083984","3.4885144233703613","3990","3990","3990","2.837848484516144","2.7995195388793945","2.9065427780151367","3990","3990","3990"
"70","3.436967194080353","3.398853063583374","3.487611770629883","4047","4047","4047","2.8429386615753174","2.8041181564331055","2.9117887020111084","4047","4047","4047"
"71","3.440435767173767","3.39973783493042","3.488579273223877","4104","4104","4104","2.848022699356079","2.8087711334228516","2.9178051948547363","4104","4104","4104"
"72","3.4462496638298035","3.4032819271087646","3.4971437454223633","4161","4161","4161","2.8524346947669983","2.8125391006469727","2.9226303100585938","4161","4161","4161"
"73","3.447931945323944","3.406411647796631","3.5007593631744385","4218","4218","4218","2.8566315174102783","2.8160669803619385","2.926082134246826","4218","4218","4218"
"74","3.4554125666618347","3.4148876667022705","3.5033493041992188","4275","4275","4275","2.861221134662628","2.8205056190490723","2.931741237640381","4275","4275","4275"
"75","3.4580012559890747","3.4175543785095215","3.508634090423584","4332","4332","4332","2.8660786747932434","2.8252038955688477","2.936925172805786","4332","4332","4332"
"76","3.4593356251716614","3.419224500656128","3.5087873935699463","4389","4389","4389","2.870217978954315","2.8292629718780518","2.9411916732788086","4389","4389","4389"
"77","3.464346766471863","3.424905300140381","3.5226049423217773","4446","4446","4446","2.8749096989631653","2.833534002304077","2.9459447860717773","4446","4446","4446"
"78","3.4685046076774597","3.4289634227752686","3.5219619274139404","4503","4503","4503","2.8794370889663696","2.837089776992798","2.950788974761963","4503","4503","4503"
"79","3.4711775183677673","3.4278416633605957","3.525538921356201","4560","4560","4560","2.8836798667907715","2.84159779548645","2.9549407958984375","4560","4560","4560"
"80","3.4763062596321106","3.4324851036071777","3.5325675010681152","4617","4617","4617","2.8882105350494385","2.8460848331451416","2.9590110778808594","4617","4617","4617"
"81","3.4786055088043213","3.4360105991363525","3.5341978073120117","4674","4674","4674","2.892353594303131","2.8497366905212402","2.96406626701355","4674","4674","4674"
"82","3.4816564321517944","3.436391830444336","3.530789375305176","4731","4731","4731","2.8964792490005493","2.854107618331909","2.968657970428467","4731","4731","4731"
"83","3.483746111392975","3.438164234161377","3.53369402885437","4788","4788","4788","2.900166392326355","2.858081817626953","2.9725656509399414","4788","4788","4788"
"84","3.4861193895339966","3.446685552597046","3.5288796424865723","4845","4845","4845","2.9043416380882263","2.861705780029297","2.9768404960632324","4845","4845","4845"
"85","3.4889103770256042","3.4421305656433105","3.535306930541992","4902","4902","4902","2.9083685874938965","2.865269184112549","2.9815430641174316","4902","4902","4902"
"86","3.4910582304000854","3.446866273880005","3.536738872528076","4959","4959","4959","2.912289619445801","2.869077205657959","2.9857239723205566","4959","4959","4959"
"87","3.4989282488822937","3.4562723636627197","3.5378763675689697","5016","5016","5016","2.916061043739319","2.872560739517212","2.989758014678955","5016","5016","5016"
"88","3.5008981227874756","3.457219123840332","3.541095733642578","5073","5073","5073","2.9200555086135864","2.8761184215545654","2.9938111305236816","5073","5073","5073"
"89","3.504099130630493","3.4602346420288086","3.5449206829071045","5130","5130","5130","2.9237966537475586","2.879732608795166","2.997690200805664","5130","5130","5130"
