"train/epoch","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_linf_norm","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_linf_norm__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - model/param_linf_norm__MAX","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MIN","Group: alexnet-muon-pretrain-lr0.0005-wd0.00001-group - _step__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_linf_norm","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_linf_norm__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - model/param_linf_norm__MAX","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MIN","Group: alexnet-adam-pretrain-lr0.00005-wd0.0001-group - _step__MAX"
"36","0.25103775039315224","0.22845809161663055","0.26603007316589355","2109","2109","2109","0.048560705967247486","0.04686063900589943","0.0500965416431427","2109","2109","2109"
"37","0.2507466748356819","0.2298416793346405","0.26444339752197266","2166","2166","2166","0.048978403210639954","0.04735477268695831","0.0504472479224205","2166","2166","2166"
"38","0.251758124679327","0.2317511886358261","0.2659895718097687","2223","2223","2223","0.04942131880670786","0.047854967415332794","0.05081763491034508","2223","2223","2223"
"39","0.25325004011392593","0.23294052481651306","0.2682585120201111","2280","2280","2280","0.04977729357779026","0.04817291349172592","0.05122853070497513","2280","2280","2280"
"40","0.2543811649084091","0.23316910862922668","0.267713725566864","2337","2337","2337","0.05019419174641371","0.04864753037691116","0.051682762801647186","2337","2337","2337"
"41","0.255134891718626","0.2345418781042099","0.2668629288673401","2394","2394","2394","0.05056270211935043","0.04906773194670677","0.052095819264650345","2394","2394","2394"
"42","0.2560018450021744","0.23577305674552917","0.26799818873405457","2451","2451","2451","0.05089225992560387","0.04947824776172638","0.05240965262055397","2451","2451","2451"
"43","0.25636575371026993","0.2352091670036316","0.26908397674560547","2508","2508","2508","0.051197320222854614","0.04989095777273178","0.052735134959220886","2508","2508","2508"
"44","0.2569665014743805","0.23621869087219238","0.26871830224990845","2565","2565","2565","0.051552523858845234","0.05019848793745041","0.052979081869125366","2565","2565","2565"
"45","0.25701165199279785","0.23758241534233093","0.26797035336494446","2622","2622","2622","0.05185805168002844","0.0504019558429718","0.0531761609017849","2622","2622","2622"
"46","0.2573036700487137","0.237064391374588","0.268412709236145","2679","2679","2679","0.052161349914968014","0.050657257437705994","0.05340788885951042","2679","2679","2679"
"47","0.2586715742945671","0.23680749535560608","0.27115583419799805","2736","2736","2736","0.052465638145804405","0.05111127346754074","0.05357757955789566","2736","2736","2736"
"48","0.2578602395951748","0.23755662143230438","0.26948320865631104","2793","2793","2793","0.05271328054368496","0.051381319761276245","0.05381105840206146","2793","2793","2793"
"49","0.258067324757576","0.2378116250038147","0.27001455426216125","2850","2850","2850","0.052960981614887714","0.05174984037876129","0.054046839475631714","2850","2850","2850"
"50","0.2581723779439926","0.2399442195892334","0.2693503499031067","2907","2907","2907","0.053203366696834564","0.052080459892749786","0.05428425967693329","2907","2907","2907"
"51","0.2587633989751339","0.2400999814271927","0.2704273462295532","2964","2964","2964","0.0533915376290679","0.0523681603372097","0.05440204218029976","2964","2964","2964"
"52","0.2594863399863243","0.24061384797096252","0.2708287537097931","3021","3021","3021","0.053620025515556335","0.05264986678957939","0.05458276718854904","3021","3021","3021"
"53","0.2594418339431286","0.24198107421398163","0.2710762917995453","3078","3078","3078","0.05380937270820141","0.05288475751876831","0.054782286286354065","3078","3078","3078"
"54","0.25963759422302246","0.24324092268943787","0.27272602915763855","3135","3135","3135","0.05399597808718681","0.053037676960229874","0.0549529567360878","3135","3135","3135"
"55","0.2609570845961571","0.2431565225124359","0.27435049414634705","3192","3192","3192","0.054188462905585766","0.053233299404382706","0.05516769737005234","3192","3192","3192"
"56","0.26121364533901215","0.24506202340126038","0.2739656865596771","3249","3249","3249","0.05435614474117756","0.05342160165309906","0.05529013276100159","3249","3249","3249"
"57","0.26083745807409286","0.24449577927589417","0.27368399500846863","3306","3306","3306","0.054533982649445534","0.05360867828130722","0.05543307960033417","3306","3306","3306"
"58","0.26134388893842697","0.24535924196243286","0.2736451327800751","3363","3363","3363","0.0547238877043128","0.05383215844631195","0.05560816451907158","3363","3363","3363"
"59","0.2606308087706566","0.24541941285133362","0.2723872661590576","3420","3420","3420","0.05491138342767954","0.05393097922205925","0.05583588406443596","3420","3420","3420"
"60","0.26114601269364357","0.2462974637746811","0.2715347409248352","3477","3477","3477","0.05511745810508728","0.05409392714500427","0.05612216889858246","3477","3477","3477"
"61","0.26049984991550446","0.246904194355011","0.2703298032283783","3534","3534","3534","0.0552741838619113","0.054149191826581955","0.056413434445858","3534","3534","3534"
"62","0.2594682276248932","0.24647122621536255","0.2709517478942871","3591","3591","3591","0.05541367456316948","0.05423174798488617","0.056606367230415344","3591","3591","3591"
"63","0.2588025666773319","0.2453046292066574","0.2719143033027649","3648","3648","3648","0.0555991530418396","0.05437794327735901","0.05690816789865494","3648","3648","3648"
"64","0.25876326113939285","0.2443179488182068","0.27132588624954224","3705","3705","3705","0.055744280107319355","0.0544176921248436","0.05710741877555847","3705","3705","3705"
"65","0.2590980529785156","0.24392184615135193","0.27167555689811707","3762","3762","3762","0.05596419144421816","0.054612189531326294","0.05752266198396683","3762","3762","3762"
"66","0.2590179741382599","0.24425381422042847","0.2714911699295044","3819","3819","3819","0.056114393286406994","0.05465776473283768","0.05771235376596451","3819","3819","3819"
"67","0.2587549090385437","0.24446886777877808","0.27248242497444153","3876","3876","3876","0.05624901596456766","0.05479435250163078","0.05793341249227524","3876","3876","3876"
"68","0.25860942527651787","0.24436552822589874","0.27257040143013","3933","3933","3933","0.05638987384736538","0.05485320836305618","0.05812108889222145","3933","3933","3933"
"69","0.25989995524287224","0.24596919119358063","0.2713032066822052","3990","3990","3990","0.05651383567601442","0.05497361719608307","0.05819914862513542","3990","3990","3990"
"70","0.2605998069047928","0.24660000205039978","0.2719808518886566","4047","4047","4047","0.05661653261631727","0.055126238614320755","0.05823031812906265","4047","4047","4047"
"71","0.25987325236201286","0.24699224531650543","0.2716180384159088","4104","4104","4104","0.05671245418488979","0.055176977068185806","0.058381665498018265","4104","4104","4104"
"72","0.25905463099479675","0.24728858470916748","0.2699153423309326","4161","4161","4161","0.05686764419078827","0.05538530647754669","0.05845126509666443","4161","4161","4161"
"73","0.259543739259243","0.248864084482193","0.26987504959106445","4218","4218","4218","0.05700937379151583","0.05553380772471428","0.058529406785964966","4218","4218","4218"
"74","0.2589002512395382","0.24884529411792755","0.2692873477935791","4275","4275","4275","0.05717875994741917","0.0556759238243103","0.05869761109352112","4275","4275","4275"
"75","0.2593289315700531","0.24881669878959656","0.2703990340232849","4332","4332","4332","0.0572868911549449","0.055743128061294556","0.05883723497390747","4332","4332","4332"
"76","0.2579754404723644","0.24893485009670258","0.2685646116733551","4389","4389","4389","0.05742979608476162","0.05592317134141922","0.05897042900323868","4389","4389","4389"
"77","0.2575050964951515","0.24785706400871277","0.26870131492614746","4446","4446","4446","0.05755511578172445","0.05605677515268326","0.05909961462020874","4446","4446","4446"
"78","0.25832168757915497","0.24900630116462708","0.2712942063808441","4503","4503","4503","0.05771082080900669","0.05616891011595726","0.05928972363471985","4503","4503","4503"
"79","0.25913698971271515","0.2504284977912903","0.271022230386734","4560","4560","4560","0.05787399597465992","0.05637579783797264","0.0594777911901474","4560","4560","4560"
"80","0.259381428360939","0.25006991624832153","0.272502064704895","4617","4617","4617","0.05800128076225519","0.05652323365211487","0.05964166298508644","4617","4617","4617"
"81","0.25862830877304077","0.24898427724838257","0.2723858952522278","4674","4674","4674","0.05811673775315285","0.05663621798157692","0.05978160351514816","4674","4674","4674"
"82","0.2593856528401375","0.250629186630249","0.2721579968929291","4731","4731","4731","0.05820577684789896","0.056666724383831024","0.05993010848760605","4731","4731","4731"
"83","0.25981418788433075","0.25147193670272827","0.2719665467739105","4788","4788","4788","0.058319300413131714","0.056771744042634964","0.05996847152709961","4788","4788","4788"
"84","0.2598468214273453","0.25236812233924866","0.2708893418312073","4845","4845","4845","0.058391252532601357","0.05685155838727951","0.05998845398426056","4845","4845","4845"
"85","0.25927703082561493","0.24942776560783386","0.2715279161930084","4902","4902","4902","0.058478085324168205","0.05689944326877594","0.06004975736141205","4902","4902","4902"
"86","0.25915735214948654","0.2507878541946411","0.2715749144554138","4959","4959","4959","0.05855592526495457","0.0570012703537941","0.06016147881746292","4959","4959","4959"
"87","0.25867607071995735","0.24865277111530304","0.27176883816719055","5016","5016","5016","0.05867895483970642","0.05713333934545517","0.06030441075563431","5016","5016","5016"
"88","0.2584743984043598","0.24903501570224762","0.271810382604599","5073","5073","5073","0.05877022724598646","0.057209622114896774","0.06031640246510506","5073","5073","5073"
"89","0.2588955909013748","0.24874454736709595","0.2710665166378021","5130","5130","5130","0.0588642843067646","0.057298894971609116","0.06042856350541115","5130","5130","5130"
