"train/epoch","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_linf_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MAX"
"0","0.24405792852242789","0.24394547939300537","0.24425408244132996","96","96","96","0.24417040745417276","0.2439776062965393","0.24437172710895538","96","96","96","0.24657141168912253","0.24652531743049622","0.2466612160205841","39","39","39"
"1","0.2416087488333384","0.2413390874862671","0.24199363589286804","192","192","192","0.241729403535525","0.2414550483226776","0.24198484420776367","192","192","192","0.24474172294139862","0.24458561837673187","0.24484401941299438","78","78","78"
"2","0.24110945065816244","0.24077825248241425","0.24150557816028595","288","288","288","0.24141996602217355","0.24108564853668213","0.2418702244758606","288","288","288","0.24324392278989157","0.24303823709487915","0.24335412681102753","117","117","117"
"3","0.23986983795960745","0.23950789868831635","0.24009579420089722","384","384","384","0.24184678494930267","0.24141064286231995","0.24237555265426636","384","384","384","0.2422207941611608","0.24194881319999695","0.24236436188220978","156","156","156"
"4","0.23951998353004456","0.23932532966136932","0.23984047770500183","480","480","480","0.24263957142829895","0.24235853552818298","0.24297261238098145","480","480","480","0.24136756360530853","0.24111704528331757","0.24150140583515167","195","195","195"
"5","0.24054253101348877","0.24034754931926727","0.24075376987457275","576","576","576","0.24400498966375986","0.24370136857032776","0.24427300691604614","576","576","576","0.24030211567878723","0.24021121859550476","0.24040371179580688","234","234","234"
"6","0.24176583687464395","0.24154245853424072","0.2419145107269287","672","672","672","0.24588239192962646","0.24578848481178284","0.24595361948013306","672","672","672","0.24030249814192453","0.24016408622264862","0.24038845300674438","273","273","273"
"7","0.24327433109283447","0.2431500256061554","0.24342329800128937","768","768","768","0.2481105774641037","0.24793395400047302","0.2483302503824234","768","768","768","0.24090170860290527","0.24074134230613708","0.24118439853191376","312","312","312"
"8","0.24565304815769196","0.2451574057340622","0.2461785525083542","864","864","864","0.250693420569102","0.25035834312438965","0.2511756718158722","864","864","864","0.24097533524036407","0.24066774547100067","0.2412130981683731","351","351","351"
"9","0.2480402241150538","0.24730002880096436","0.2489418089389801","960","960","960","0.2531939546267192","0.25212863087654114","0.25406622886657715","960","960","960","0.24111631512641907","0.24052472412586212","0.24142058193683624","390","390","390"
"10","0.25023918847242993","0.24946053326129913","0.2511560022830963","1056","1056","1056","0.25544382135073346","0.2540529668331146","0.2567903995513916","1056","1056","1056","0.24158885578314462","0.24106784164905548","0.2419711947441101","429","429","429"
"11","0.25231953461964923","0.2510901987552643","0.2538089156150818","1152","1152","1152","0.25771411259969074","0.25593599677085876","0.2592693865299225","1152","1152","1152","0.24213853975137076","0.24180041253566742","0.24236348271369934","468","468","468"
"12","0.2542399565378825","0.25302204489707947","0.25576356053352356","1248","1248","1248","0.26007365187009174","0.2575579285621643","0.26249584555625916","1248","1248","1248","0.24271824955940247","0.24229995906352997","0.24322128295898438","507","507","507"
"13","0.257297803958257","0.2562207281589508","0.2588115632534027","1344","1344","1344","0.26292773087819415","0.2603440582752228","0.2659156918525696","1344","1344","1344","0.24365743498007456","0.24328762292861938","0.24411523342132568","546","546","546"
"14","0.2601051330566406","0.2587266266345978","0.2617635130882263","1440","1440","1440","0.2658848762512207","0.2630498707294464","0.2687032222747803","1440","1440","1440","0.24444130063056946","0.24415349960327148","0.24501028656959534","585","585","585"
"15","0.2626531223456065","0.2610134780406952","0.264441579580307","1536","1536","1536","0.2686205705006917","0.2655743360519409","0.27134770154953003","1536","1536","1536","0.24519927302996317","0.2446936070919037","0.2460637092590332","624","624","624"
"16","0.2653895318508148","0.2637177109718323","0.26728999614715576","1632","1632","1632","0.2711452345053355","0.26833850145339966","0.2737569212913513","1632","1632","1632","0.24606361985206604","0.2453571856021881","0.24715489149093628","663","663","663"
"17","0.267472376426061","0.26646924018859863","0.26869839429855347","1728","1728","1728","0.27378984292348224","0.2709522247314453","0.2764805555343628","1728","1728","1728","0.24709022541840872","0.24613232910633087","0.24816173315048218","702","702","702"
"18","0.26944823066393536","0.2682790160179138","0.27032995223999023","1824","1824","1824","0.2760654290517171","0.27317845821380615","0.27862900495529175","1824","1824","1824","0.24803157150745392","0.2469521462917328","0.24917812645435333","741","741","741"
"19","0.2715187768141429","0.270127534866333","0.2722214162349701","1920","1920","1920","0.27810696760813397","0.2753090560436249","0.28038454055786133","1920","1920","1920","0.24913238485654196","0.24799135327339172","0.25030794739723206","780","780","780"
