"train/epoch","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-muon-lr0.0001-preratio0.0-group - _step__MAX"
"22","3.690696954727173","3.6842806339263916","3.695552349090576","2208","2208","2208","3.7335774898529053","3.7285890579223633","3.739619731903076","2208","2208","2208","3.4922495683034263","3.488116979598999","3.496217727661133","897","897","897"
"23","3.70428729057312","3.698134660720825","3.7091758251190186","2304","2304","2304","3.747342586517334","3.741912841796875","3.753079891204834","2304","2304","2304","3.5012356440226235","3.4973268508911133","3.505232810974121","936","936","936"
"24","3.7167348861694336","3.7108521461486816","3.720202922821045","2400","2400","2400","3.7600581645965576","3.7531368732452393","3.76668119430542","2400","2400","2400","3.5102430979410806","3.506070613861084","3.5144312381744385","975","975","975"
"25","3.727226734161377","3.721160411834717","3.730983257293701","2496","2496","2496","3.772363265355428","3.7669453620910645","3.7786216735839844","2496","2496","2496","3.5191005071004233","3.5154943466186523","3.5229430198669434","1014","1014","1014"
"26","3.7364981174468994","3.7300052642822266","3.7406392097473145","2592","2592","2592","3.783677419026693","3.7778396606445312","3.788479804992676","2592","2592","2592","3.528139114379883","3.5247421264648438","3.5321996212005615","1053","1053","1053"
"27","3.7462379932403564","3.739025592803955","3.751664161682129","2688","2688","2688","3.793507973353068","3.7876079082489014","3.798562526702881","2688","2688","2688","3.537485361099243","3.533949613571167","3.5415518283843994","1092","1092","1092"
"28","3.755173603693644","3.747851610183716","3.75998592376709","2784","2784","2784","3.8035994370778403","3.798892021179199","3.807013511657715","2784","2784","2784","3.546910047531128","3.543243646621704","3.5510101318359375","1131","1131","1131"
"29","3.7613717714945474","3.752317428588867","3.7678208351135254","2880","2880","2880","3.812012275060018","3.8075766563415527","3.8152146339416504","2880","2880","2880","3.5562828381856284","3.5525782108306885","3.5603256225585938","1170","1170","1170"
"30","3.769460121790568","3.761784553527832","3.775419235229492","2976","2976","2976","3.8196586767832437","3.8162567615509033","3.8227009773254395","2976","2976","2976","3.5656580130259194","3.5619640350341797","3.570056915283203","1209","1209","1209"
"31","3.7766307989756265","3.767935037612915","3.784008026123047","3072","3072","3072","3.827259143193563","3.8230838775634766","3.8311142921447754","3072","3072","3072","3.5750444730122886","3.571476459503174","3.5793256759643555","1248","1248","1248"
"32","3.78401517868042","3.7746007442474365","3.7906925678253174","3168","3168","3168","3.8327762285868325","3.827406883239746","3.8377981185913086","3168","3168","3168","3.5842552185058594","3.581266164779663","3.588736057281494","1287","1287","1287"
"33","3.790170590082804","3.780395269393921","3.7970619201660156","3264","3264","3264","3.8385510444641113","3.8340229988098145","3.8415989875793457","3264","3264","3264","3.5936437447865806","3.5910987854003906","3.597982406616211","1326","1326","1326"
"34","3.7962772846221924","3.786864995956421","3.8043575286865234","3360","3360","3360","3.8454250494639077","3.8410327434539795","3.8479275703430176","3360","3360","3360","3.6026453971862793","3.6000490188598633","3.6076698303222656","1365","1365","1365"
"35","3.800424496332804","3.791764974594116","3.808788299560547","3456","3456","3456","3.8492955366770425","3.843432903289795","3.852963924407959","3456","3456","3456","3.6117420196533203","3.609011650085449","3.61651611328125","1404","1404","1404"
"36","3.8034839630126953","3.7952733039855957","3.810182571411133","3552","3552","3552","3.8537397384643555","3.848365306854248","3.8571040630340576","3552","3552","3552","3.6209468841552734","3.618558883666992","3.6252574920654297","1443","1443","1443"
"37","3.8084257443745932","3.8009917736053467","3.816465139389038","3648","3648","3648","3.857457399368286","3.8507816791534424","3.8613834381103516","3648","3648","3648","3.6296008427937827","3.6272714138031006","3.6334328651428223","1482","1482","1482"
"38","3.8111448287963867","3.804473400115967","3.8188157081604004","3744","3744","3744","3.85986057917277","3.8538854122161865","3.863048553466797","3744","3744","3744","3.638230482737223","3.636141300201416","3.6418514251708984","1521","1521","1521"
"39","3.8146276473999023","3.807255268096924","3.8228039741516113","3840","3840","3840","3.8639524777730307","3.859138011932373","3.867122173309326","3840","3840","3840","3.6470436255137124","3.645189046859741","3.650327205657959","1560","1560","1560"
