"train/epoch","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MAX"
"22","3.6229288578033447","3.6215710639953613","3.6238479614257812","2208","2208","2208","3.6184996366500854","3.617215394973755","3.6200528144836426","2208","2208","2208","3.566609740257263","3.565556764602661","3.568293333053589","897","897","897"
"23","3.625541925430298","3.6244468688964844","3.6266045570373535","2304","2304","2304","3.6212666630744934","3.6197829246520996","3.62214994430542","2304","2304","2304","3.5676862001419067","3.5665364265441895","3.569249153137207","936","936","936"
"24","3.6291549801826477","3.627957344055176","3.629997491836548","2400","2400","2400","3.624402165412903","3.6234798431396484","3.625110626220703","2400","2400","2400","3.5683770775794983","3.567279577255249","3.569851875305176","975","975","975"
"25","3.631661057472229","3.629848003387451","3.6328539848327637","2496","2496","2496","3.6275059580802917","3.6262195110321045","3.628739833831787","2496","2496","2496","3.5691770911216736","3.5683746337890625","3.570474147796631","1014","1014","1014"
"26","3.6344462633132935","3.6335248947143555","3.6353893280029297","2592","2592","2592","3.630381226539612","3.6285619735717773","3.6319875717163086","2592","2592","2592","3.5699485540390015","3.5692386627197266","3.5712342262268066","1053","1053","1053"
"27","3.6367664337158203","3.6353864669799805","3.638249397277832","2688","2688","2688","3.6336430311203003","3.632239818572998","3.634732723236084","2688","2688","2688","3.570849597454071","3.569981098175049","3.5720953941345215","1092","1092","1092"
"28","3.6391334533691406","3.6384263038635254","3.640618324279785","2784","2784","2784","3.6364614963531494","3.6349070072174072","3.637836217880249","2784","2784","2784","3.5719202756881714","3.5710136890411377","3.5732481479644775","1131","1131","1131"
"29","3.642106533050537","3.640606164932251","3.6445224285125732","2880","2880","2880","3.6395304203033447","3.6386308670043945","3.6405386924743652","2880","2880","2880","3.5728505849838257","3.571826696395874","3.574125051498413","1170","1170","1170"
"30","3.6449023485183716","3.644141674041748","3.646146774291992","2976","2976","2976","3.642164945602417","3.6414389610290527","3.6428914070129395","2976","2976","2976","3.5737022161483765","3.5725743770599365","3.5752127170562744","1209","1209","1209"
"31","3.647419512271881","3.646554470062256","3.6484265327453613","3072","3072","3072","3.645090937614441","3.644348621368408","3.6463615894317627","3072","3072","3072","3.5744852423667908","3.573453187942505","3.575998067855835","1248","1248","1248"
"32","3.649939000606537","3.6489808559417725","3.6507339477539062","3168","3168","3168","3.6483774185180664","3.647721767425537","3.649843692779541","3168","3168","3168","3.575358510017395","3.5745437145233154","3.5766520500183105","1287","1287","1287"
"33","3.6526312232017517","3.6518685817718506","3.653386116027832","3264","3264","3264","3.6511049270629883","3.6502602100372314","3.652355194091797","3264","3264","3264","3.576220989227295","3.5751328468322754","3.577697992324829","1326","1326","1326"
"34","3.6555864214897156","3.6543171405792236","3.6569440364837646","3360","3360","3360","3.654857873916626","3.6535849571228027","3.656633138656616","3360","3360","3360","3.576954185962677","3.575777053833008","3.578444004058838","1365","1365","1365"
"35","3.659050762653351","3.6581544876098633","3.660705804824829","3456","3456","3456","3.6577147245407104","3.6562540531158447","3.659956455230713","3456","3456","3456","3.5777480602264404","3.5764975547790527","3.5791401863098145","1404","1404","1404"
"36","3.661340296268463","3.6603751182556152","3.662829875946045","3552","3552","3552","3.660512685775757","3.658766746520996","3.6628425121307373","3552","3552","3552","3.5785816311836243","3.5774824619293213","3.579949140548706","1443","1443","1443"
"37","3.6641863584518433","3.663172721862793","3.666914224624634","3648","3648","3648","3.6642280220985413","3.6615655422210693","3.668375015258789","3648","3648","3648","3.579565167427063","3.5784969329833984","3.5808029174804688","1482","1482","1482"
"38","3.6670520305633545","3.6657423973083496","3.6696534156799316","3744","3744","3744","3.6676610708236694","3.6660239696502686","3.671186923980713","3744","3744","3744","3.580546736717224","3.5793514251708984","3.5818755626678467","1521","1521","1521"
"39","3.66989928483963","3.6680917739868164","3.6731200218200684","3840","3840","3840","3.6702752113342285","3.668639659881592","3.673099994659424","3840","3840","3840","3.581285834312439","3.5803098678588867","3.5825388431549072","1560","1560","1560"
"40","3.672170639038086","3.6702191829681396","3.6753604412078857","3936","3936","3936","3.672995150089264","3.671656370162964","3.6758017539978027","3936","3936","3936","3.582093119621277","3.581109046936035","3.5833377838134766","1599","1599","1599"
"41","3.674585223197937","3.6734166145324707","3.6771488189697266","4032","4032","4032","3.6763263940811157","3.674722909927368","3.6788814067840576","4032","4032","4032","3.5828109979629517","3.581423759460449","3.5843658447265625","1638","1638","1638"
"42","3.6774519085884094","3.6762967109680176","3.6798689365386963","4128","4128","4128","3.6795201897621155","3.677445888519287","3.681640625","4128","4128","4128","3.583348572254181","3.581869602203369","3.584949493408203","1677","1677","1677"
"43","3.680747151374817","3.6790666580200195","3.6838271617889404","4224","4224","4224","3.6825449466705322","3.6800384521484375","3.6860642433166504","4224","4224","4224","3.58400958776474","3.5823464393615723","3.5856049060821533","1716","1716","1716"
"44","3.6842172145843506","3.6828131675720215","3.685638427734375","4320","4320","4320","3.6856648325920105","3.6834402084350586","3.689513683319092","4320","4320","4320","3.584674835205078","3.5832953453063965","3.586165428161621","1755","1755","1755"
"45","3.6872825026512146","3.686269760131836","3.6889278888702393","4416","4416","4416","3.688117027282715","3.686427354812622","3.6915886402130127","4416","4416","4416","3.585389733314514","3.584200382232666","3.586918354034424","1794","1794","1794"
"46","3.6897465586662292","3.688447952270508","3.6922554969787598","4512","4512","4512","3.6909497380256653","3.6884477138519287","3.694094181060791","4512","4512","4512","3.586212396621704","3.5848379135131836","3.587979316711426","1833","1833","1833"
"47","3.693036198616028","3.6912503242492676","3.6951372623443604","4608","4608","4608","3.694070816040039","3.691539764404297","3.6969079971313477","4608","4608","4608","3.587055027484894","3.5857396125793457","3.5892090797424316","1872","1872","1872"
"48","3.6959807872772217","3.694019079208374","3.6972594261169434","4704","4704","4704","3.6977901458740234","3.6949634552001953","3.7010674476623535","4704","4704","4704","3.587879240512848","3.5864946842193604","3.5901994705200195","1911","1911","1911"
"49","3.6988237500190735","3.6976287364959717","3.700761079788208","4800","4800","4800","3.7011550664901733","3.6972122192382812","3.705127716064453","4800","4800","4800","3.5888819694519043","3.5874805450439453","3.5914576053619385","1950","1950","1950"
"50","3.7016687989234924","3.700467824935913","3.7036828994750977","4896","4896","4896","3.703653335571289","3.700603485107422","3.7071280479431152","4896","4896","4896","3.589824616909027","3.5884807109832764","3.59244441986084","1989","1989","1989"
"51","3.70374858379364","3.702805995941162","3.7049050331115723","4992","4992","4992","3.7067232728004456","3.7027552127838135","3.7103099822998047","4992","4992","4992","3.5904720425605774","3.5889334678649902","3.592891216278076","2028","2028","2028"
"52","3.7062790393829346","3.705639362335205","3.7075586318969727","5088","5088","5088","3.7096983790397644","3.705324649810791","3.712571620941162","5088","5088","5088","3.591305911540985","3.589887857437134","3.5935888290405273","2067","2067","2067"
"53","3.708777666091919","3.707660675048828","3.7098681926727295","5184","5184","5184","3.712779223918915","3.708623170852661","3.7167084217071533","5184","5184","5184","3.592327058315277","3.5910072326660156","3.5948753356933594","2106","2106","2106"
"54","3.71097469329834","3.7096660137176514","3.7120602130889893","5280","5280","5280","3.7163503170013428","3.712843418121338","3.720742702484131","5280","5280","5280","3.593093991279602","3.5919291973114014","3.5954160690307617","2145","2145","2145"
