"train/epoch","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_linf_norm","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MIN","Group: alexnet-pretrain-muon-finetune-adam-lr0.00005-preratio0.0-group - _step__MAX"
"49","0.24990243837237358","0.24978357553482056","0.25003325939178467","4800","4800","4800","0.24998794123530388","0.2497790902853012","0.2501772344112396","4800","4800","4800","0.24947800487279892","0.24929317831993103","0.2496090531349182","1950","1950","1950"
"50","0.249944020062685","0.2498183697462082","0.25007444620132446","4896","4896","4896","0.25000932067632675","0.24985170364379883","0.25019028782844543","4896","4896","4896","0.24952201172709465","0.24935245513916016","0.24963556230068207","1989","1989","1989"
"51","0.2499510422348976","0.24973347783088684","0.250110924243927","4992","4992","4992","0.2500016316771507","0.2497795820236206","0.2502463757991791","4992","4992","4992","0.24951839819550514","0.2493198812007904","0.24964623153209686","2028","2028","2028"
"52","0.24996590614318848","0.2497306913137436","0.2501593232154846","5088","5088","5088","0.2500130906701088","0.24976491928100586","0.25017398595809937","5088","5088","5088","0.24956908077001572","0.24945314228534698","0.24964070320129395","2067","2067","2067"
"53","0.2499980553984642","0.24980933964252472","0.2503286898136139","5184","5184","5184","0.25005970522761345","0.24991387128829956","0.25022590160369873","5184","5184","5184","0.2495528869330883","0.24942782521247864","0.24962621927261353","2106","2106","2106"
"54","0.2500433288514614","0.24988093972206116","0.25029611587524414","5280","5280","5280","0.2500993609428406","0.24999329447746277","0.25028684735298157","5280","5280","5280","0.24954450502991676","0.2494184970855713","0.24959717690944672","2145","2145","2145"
"55","0.2500610128045082","0.24988439679145813","0.2502886652946472","5376","5376","5376","0.2501140236854553","0.24999094009399414","0.2502879798412323","5376","5376","5376","0.2495313584804535","0.24942439794540405","0.24961328506469727","2184","2184","2184"
"56","0.2501372843980789","0.2498321235179901","0.2504095137119293","5472","5472","5472","0.25010259822010994","0.24999187886714935","0.2502437233924866","5472","5472","5472","0.24955296143889427","0.249441996216774","0.24965360760688782","2223","2223","2223"
"57","0.2501857057213783","0.24988695979118347","0.25049570202827454","5568","5568","5568","0.2501107379794121","0.24997910857200623","0.2502719461917877","5568","5568","5568","0.24958470463752747","0.2494727224111557","0.24963992834091187","2262","2262","2262"
"58","0.2501206696033478","0.2497997283935547","0.2504918575286865","5664","5664","5664","0.2501276358962059","0.2499908208847046","0.2502586841583252","5664","5664","5664","0.24958766624331474","0.2494407296180725","0.24971821904182434","2301","2301","2301"
"59","0.2501649893820286","0.24977730214595795","0.25048762559890747","5760","5760","5760","0.25014206022024155","0.25003862380981445","0.250276118516922","5760","5760","5760","0.24961182475090027","0.24947118759155273","0.2497614622116089","2340","2340","2340"
"60","0.25014907121658325","0.2497895061969757","0.25037261843681335","5856","5856","5856","0.25020797550678253","0.2501218318939209","0.2503305971622467","5856","5856","5856","0.24964383244514465","0.2495047003030777","0.24978241324424744","2379","2379","2379"
"61","0.2501171678304672","0.24986085295677185","0.25039130449295044","5952","5952","5952","0.2501484081149101","0.2500476539134979","0.2503584921360016","5952","5952","5952","0.24963927268981934","0.24949827790260315","0.24976712465286255","2418","2418","2418"
"62","0.25015220791101456","0.2497754693031311","0.2503608167171478","6048","6048","6048","0.2501521036028862","0.25004908442497253","0.25035831332206726","6048","6048","6048","0.24969325959682465","0.249577134847641","0.24984201788902283","2457","2457","2457"
"63","0.25021181255578995","0.24984386563301086","0.2504023313522339","6144","6144","6144","0.25023122876882553","0.25005918741226196","0.25048020482063293","6144","6144","6144","0.24966464936733246","0.2495625913143158","0.24977068603038788","2496","2496","2496"
"64","0.2501434087753296","0.2497541904449463","0.2503643333911896","6240","6240","6240","0.25027861446142197","0.2501225471496582","0.25053727626800537","6240","6240","6240","0.24969973415136337","0.24960416555404663","0.24980364739894867","2535","2535","2535"
"65","0.25013239681720734","0.249688982963562","0.25044846534729004","6336","6336","6336","0.25027212500572205","0.2501527667045593","0.25047361850738525","6336","6336","6336","0.24970299005508423","0.24960952997207642","0.24979303777217865","2574","2574","2574"
"66","0.25020649284124374","0.24983808398246765","0.2504832446575165","6432","6432","6432","0.250258207321167","0.25008195638656616","0.25043484568595886","6432","6432","6432","0.24968960881233215","0.24958878755569458","0.2497899830341339","2613","2613","2613"
"67","0.25024767965078354","0.24985980987548828","0.25054383277893066","6528","6528","6528","0.2502429708838463","0.25002214312553406","0.25039705634117126","6528","6528","6528","0.24969881772994995","0.24957850575447083","0.2497917115688324","2652","2652","2652"
"68","0.2502094469964504","0.24996213614940643","0.2504774034023285","6624","6624","6624","0.2502387911081314","0.2500137984752655","0.2504284381866455","6624","6624","6624","0.24969882890582085","0.24950368702411652","0.24981090426445007","2691","2691","2691"
"69","0.2501958981156349","0.24997001886367798","0.25042030215263367","6720","6720","6720","0.2503211572766304","0.2499818205833435","0.25056612491607666","6720","6720","6720","0.24969766661524773","0.24949729442596436","0.24982276558876038","2730","2730","2730"
"70","0.25021714344620705","0.24998702108860016","0.25046902894973755","6816","6816","6816","0.25038769841194153","0.2500126361846924","0.2506583631038666","6816","6816","6816","0.2497197613120079","0.24947288632392883","0.24986186623573303","2769","2769","2769"
"71","0.25022193789482117","0.2500840127468109","0.2504913806915283","6912","6912","6912","0.25045008957386017","0.25009679794311523","0.25072818994522095","6912","6912","6912","0.24972516670823097","0.24949714541435242","0.24984078109264374","2808","2808","2808"
"72","0.2502336949110031","0.2501116394996643","0.25049763917922974","7008","7008","7008","0.25038983672857285","0.25009652972221375","0.2505791187286377","7008","7008","7008","0.2497214712202549","0.24950048327445984","0.24987171590328217","2847","2847","2847"
"73","0.2502599135041237","0.2501010298728943","0.2505303919315338","7104","7104","7104","0.25040121376514435","0.2500768005847931","0.25059205293655396","7104","7104","7104","0.24972115084528923","0.2494901418685913","0.24986636638641357","2886","2886","2886"
"74","0.2502174824476242","0.2500540018081665","0.25051140785217285","7200","7200","7200","0.2503816857933998","0.25008460879325867","0.2505393624305725","7200","7200","7200","0.24972574040293694","0.2494882196187973","0.2499077469110489","2925","2925","2925"
"75","0.250276155769825","0.2501368820667267","0.2505542039871216","7296","7296","7296","0.25045010447502136","0.2501770853996277","0.2505529522895813","7296","7296","7296","0.2497350312769413","0.24950775504112244","0.24992790818214417","2964","2964","2964"
"76","0.250201553106308","0.2500256597995758","0.2504113018512726","7392","7392","7392","0.25053197145462036","0.2503666579723358","0.2506387531757355","7392","7392","7392","0.24973414465785027","0.24954435229301453","0.24988114833831787","3003","3003","3003"
"77","0.25026772916316986","0.250034898519516","0.25053733587265015","7488","7488","7488","0.2506367564201355","0.25050702691078186","0.25074467062950134","7488","7488","7488","0.24971051514148712","0.2495310753583908","0.24984410405158997","3042","3042","3042"
"78","0.25026722997426987","0.25005462765693665","0.25052914023399353","7584","7584","7584","0.2506221532821655","0.2503914535045624","0.2508930563926697","7584","7584","7584","0.24972549825906754","0.24951158463954926","0.2499023675918579","3081","3081","3081"
"79","0.2502857521176338","0.2500070631504059","0.2505228817462921","7680","7680","7680","0.2505960613489151","0.2505161464214325","0.25082188844680786","7680","7680","7680","0.2497456818819046","0.24956050515174866","0.24990886449813843","3120","3120","3120"
"80","0.2502827048301697","0.25002625584602356","0.25044095516204834","7776","7776","7776","0.2506686672568321","0.2505149841308594","0.25087881088256836","7776","7776","7776","0.2497677132487297","0.24956966936588287","0.24998192489147186","3159","3159","3159"
"81","0.2503187656402588","0.25000372529029846","0.2505546510219574","7872","7872","7872","0.2506265789270401","0.2504012882709503","0.25090262293815613","7872","7872","7872","0.24973956495523453","0.24961011111736298","0.24998217821121216","3198","3198","3198"
"82","0.2503119483590126","0.2500024139881134","0.2504928410053253","7968","7968","7968","0.2506291791796684","0.2503505349159241","0.25102588534355164","7968","7968","7968","0.2497551143169403","0.24955981969833374","0.25001078844070435","3237","3237","3237"
"83","0.25029828399419785","0.2500923275947571","0.2504833936691284","8064","8064","8064","0.2506658509373665","0.2504732310771942","0.2509758770465851","8064","8064","8064","0.2497377134859562","0.24959763884544373","0.24995936453342438","3276","3276","3276"
"84","0.25039660930633545","0.25026464462280273","0.25049301981925964","8160","8160","8160","0.2507592886686325","0.2505790889263153","0.2510792315006256","8160","8160","8160","0.24976792186498642","0.24962738156318665","0.2500070631504059","3315","3315","3315"
"85","0.2503419890999794","0.2502223253250122","0.2504860758781433","8256","8256","8256","0.25074452906847","0.2505103051662445","0.25113099813461304","8256","8256","8256","0.2498057559132576","0.24968771636486053","0.25004133582115173","3354","3354","3354"
"86","0.2503344565629959","0.2501792013645172","0.25054287910461426","8352","8352","8352","0.250756099820137","0.2504439353942871","0.2511344254016876","8352","8352","8352","0.24979238584637642","0.24966104328632355","0.25002574920654297","3393","3393","3393"
"87","0.25034691393375397","0.2501145303249359","0.2504674792289734","8448","8448","8448","0.2507280260324478","0.2505040168762207","0.2510643005371094","8448","8448","8448","0.24981652572751045","0.24966809153556824","0.2500454783439636","3432","3432","3432"
"88","0.25037702918052673","0.2500929832458496","0.25051265954971313","8544","8544","8544","0.25075699388980865","0.2505110800266266","0.2511213719844818","8544","8544","8544","0.2498374693095684","0.24973616003990173","0.25006231665611267","3471","3471","3471"
"89","0.25037626922130585","0.25015997886657715","0.2505040466785431","8640","8640","8640","0.2507709860801697","0.2504350543022156","0.2512521743774414","8640","8640","8640","0.24985406920313835","0.24968311190605164","0.2500332295894623","3510","3510","3510"
