"train/epoch","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-adam-lr0.00005-preratio0.01-group - _step__MAX"
"35","0.06782274506986141","0.06716429442167282","0.06823915243148804","3456","3456","3456","0.06692870333790779","0.0665675476193428","0.06743770837783813","3456","3456","3456"
"36","0.06789900548756123","0.06724962592124939","0.06826023012399673","3552","3552","3552","0.0669512040913105","0.06651848554611206","0.06752832233905792","3552","3552","3552"
"37","0.06799065880477428","0.0673750787973404","0.06835554540157318","3648","3648","3648","0.06704101897776127","0.06665119528770447","0.06755965948104858","3648","3648","3648"
"38","0.06815824843943119","0.06741693615913391","0.06859646737575531","3744","3744","3744","0.06713203154504299","0.06672605127096176","0.06759154796600342","3744","3744","3744"
"39","0.06821375712752342","0.06747478246688843","0.0686890110373497","3840","3840","3840","0.06720073334872723","0.06669419258832932","0.06761805713176727","3840","3840","3840"
"40","0.06829866953194141","0.06752020120620728","0.06880756467580795","3936","3936","3936","0.06725811958312988","0.0668451339006424","0.0675932914018631","3936","3936","3936"
"41","0.06837605498731136","0.06757894903421402","0.06884366273880005","4032","4032","4032","0.0673228707164526","0.06689542531967163","0.06771642714738846","4032","4032","4032"
"42","0.06845849007368088","0.06768208742141724","0.06883621215820312","4128","4128","4128","0.06738593801856041","0.06695482134819031","0.06781533360481262","4128","4128","4128"
"43","0.06858118996024132","0.06776611506938934","0.06892023980617523","4224","4224","4224","0.06746748089790344","0.067043736577034","0.06792336702346802","4224","4224","4224"
"44","0.06866942718625069","0.0677158385515213","0.06921346485614777","4320","4320","4320","0.06752787344157696","0.06700970232486725","0.06802651286125183","4320","4320","4320"
"45","0.06873616017401218","0.06775984168052673","0.06933286786079407","4416","4416","4416","0.06755822896957397","0.06715971976518631","0.06808321923017502","4416","4416","4416"
"46","0.06881638802587986","0.06781023740768433","0.06947644054889679","4512","4512","4512","0.06768391467630863","0.06727319955825806","0.06817352771759033","4512","4512","4512"
"47","0.06890509277582169","0.06792225688695908","0.06957194954156876","4608","4608","4608","0.06780170649290085","0.06738511472940445","0.06828358769416809","4608","4608","4608"
"48","0.06894854828715324","0.06799840182065964","0.06955131888389587","4704","4704","4704","0.06791329570114613","0.06738753616809845","0.06846936792135239","4704","4704","4704"
"49","0.06906692869961262","0.06802468001842499","0.06979604810476303","4800","4800","4800","0.06795752979815006","0.0674842819571495","0.06852196156978607","4800","4800","4800"
"50","0.06916268356144428","0.06813903152942657","0.06983533501625061","4896","4896","4896","0.06801865622401237","0.06759491562843323","0.06861662864685059","4896","4896","4896"
"51","0.06922797672450542","0.06810629367828369","0.07003895193338394","4992","4992","4992","0.06811068952083588","0.06760713458061218","0.06877270340919495","4992","4992","4992"
"52","0.0693343747407198","0.06810212880373001","0.0701601654291153","5088","5088","5088","0.06818380206823349","0.06764407455921173","0.06889282166957855","5088","5088","5088"
"53","0.06937995925545692","0.06814652681350708","0.07020410895347595","5184","5184","5184","0.0682700090110302","0.0677272230386734","0.0690305233001709","5184","5184","5184"
"54","0.0694623626768589","0.06822629272937775","0.07027582824230194","5280","5280","5280","0.06836827099323273","0.06779687106609344","0.06910790503025055","5280","5280","5280"
"55","0.06954078562557697","0.06839078664779663","0.07030245661735535","5376","5376","5376","0.06841807439923286","0.06779976189136505","0.06915828585624695","5376","5376","5376"
"56","0.069656727835536","0.06845025718212128","0.07042934000492096","5472","5472","5472","0.06846559047698975","0.06784655898809433","0.06923934817314148","5472","5472","5472"
"57","0.06972262263298035","0.0684819445014","0.07052317261695862","5568","5568","5568","0.06853579729795456","0.06781865656375885","0.0692039355635643","5568","5568","5568"
"58","0.06976602040231228","0.0685531497001648","0.07052642107009888","5664","5664","5664","0.06855784729123116","0.06788262724876404","0.06919009238481522","5664","5664","5664"
"59","0.06987318955361843","0.06873244047164917","0.07064986228942871","5760","5760","5760","0.06864542700350285","0.0679599717259407","0.06937451660633087","5760","5760","5760"
"60","0.06997914426028728","0.06893797963857651","0.07075268030166626","5856","5856","5856","0.06862229853868484","0.06798765063285828","0.06936949491500854","5856","5856","5856"
"61","0.07017091661691666","0.069068543612957","0.07082486152648926","5952","5952","5952","0.0687483698129654","0.06819972395896912","0.06954238563776016","5952","5952","5952"
"62","0.07025590352714062","0.06909862905740738","0.07092335820198059","6048","6048","6048","0.06882448866963387","0.0683230608701706","0.06971408426761627","6048","6048","6048"
"63","0.07038221322000027","0.06925582885742188","0.07112935930490494","6144","6144","6144","0.0688396543264389","0.06832230091094971","0.06974679231643677","6144","6144","6144"
"64","0.07042584381997585","0.06934831291437149","0.07111302763223648","6240","6240","6240","0.06886319443583488","0.06833208352327347","0.06974677741527557","6240","6240","6240"
"65","0.0705387219786644","0.0694018229842186","0.07124809920787811","6336","6336","6336","0.06893166154623032","0.06840734928846359","0.06981547176837921","6336","6336","6336"
"66","0.07065032050013542","0.06956195831298828","0.0713224858045578","6432","6432","6432","0.06900214403867722","0.06841755658388138","0.06992730498313904","6432","6432","6432"
"67","0.0707034170627594","0.06957967579364777","0.07141480594873428","6528","6528","6528","0.06909599341452122","0.06846337765455246","0.07006800174713135","6528","6528","6528"
"68","0.07073874957859516","0.06970801204442978","0.07147739827632904","6624","6624","6624","0.06916104443371296","0.0684252604842186","0.07018314301967621","6624","6624","6624"
"69","0.07079139724373817","0.06971719861030579","0.0715261697769165","6720","6720","6720","0.06921593099832535","0.06851160526275635","0.0702311173081398","6720","6720","6720"
"70","0.07088740356266499","0.06986135989427567","0.07163015007972717","6816","6816","6816","0.06929121725261211","0.06869685649871826","0.07034546136856079","6816","6816","6816"
"71","0.07088872045278549","0.06975594907999039","0.07172880321741104","6912","6912","6912","0.06937551125884056","0.06867128610610962","0.07046245038509369","6912","6912","6912"
"72","0.07102194242179394","0.06990785896778107","0.07176465541124344","7008","7008","7008","0.06945892982184887","0.06875056773424149","0.07053771615028381","7008","7008","7008"
"73","0.07114001736044884","0.06998202204704285","0.07179728150367737","7104","7104","7104","0.0695149190723896","0.06881552934646606","0.07066449522972107","7104","7104","7104"
"74","0.07120589539408684","0.06997859477996826","0.07181401550769806","7200","7200","7200","0.06955999881029129","0.06877957284450531","0.0707189217209816","7200","7200","7200"
"75","0.0712937731295824","0.0700186938047409","0.0720546767115593","7296","7296","7296","0.06963317096233368","0.06877054274082184","0.07089091837406158","7296","7296","7296"
"76","0.07143084146082401","0.07020935416221619","0.0721960961818695","7392","7392","7392","0.0696918573230505","0.0688130259513855","0.07097487151622772","7392","7392","7392"
"77","0.07149139232933521","0.070307657122612","0.07222441583871841","7488","7488","7488","0.0697486400604248","0.06887597590684891","0.07110729813575745","7488","7488","7488"
"78","0.07157970406115055","0.07032127678394318","0.07233162224292755","7584","7584","7584","0.06984595023095608","0.06890109181404114","0.07139691710472107","7584","7584","7584"
"79","0.07164436019957066","0.07037189602851868","0.07242259383201599","7680","7680","7680","0.06990385055541992","0.06899985671043396","0.0714300349354744","7680","7680","7680"
"80","0.07170899957418442","0.07043308019638062","0.07242012023925781","7776","7776","7776","0.07000358961522579","0.06891141831874847","0.07159772515296936","7776","7776","7776"
"81","0.07181225903332233","0.07049113512039185","0.07260126620531082","7872","7872","7872","0.07004927285015583","0.06901010870933533","0.07171162962913513","7872","7872","7872"
"82","0.07181045413017273","0.07051981985569","0.07252418994903564","7968","7968","7968","0.07024079002439976","0.06920386105775833","0.07184495031833649","7968","7968","7968"
"83","0.07196696475148201","0.07051710784435272","0.07263895869255066","8064","8064","8064","0.07032406888902187","0.06924223899841309","0.07200616598129272","8064","8064","8064"
"84","0.07206737250089645","0.07050851732492447","0.07279287278652191","8160","8160","8160","0.07039672508835793","0.06928206980228424","0.07213158905506134","8160","8160","8160"
"85","0.07210875116288662","0.07056912034749985","0.0728147029876709","8256","8256","8256","0.0705006904900074","0.06935875117778778","0.07222194969654083","8256","8256","8256"
"86","0.0721611026674509","0.0706268846988678","0.07291939854621887","8352","8352","8352","0.07053367607295513","0.06925128400325775","0.0722370594739914","8352","8352","8352"
"87","0.0721940640360117","0.0706157386302948","0.07296767085790634","8448","8448","8448","0.0705872867256403","0.069366455078125","0.07236729562282562","8448","8448","8448"
"88","0.07223290391266346","0.07063047587871552","0.07307789474725723","8544","8544","8544","0.07061803340911865","0.06939168274402618","0.07248171418905258","8544","8544","8544"
"89","0.07228686287999153","0.07068409770727158","0.07306988537311554","8640","8640","8640","0.07071392051875591","0.06958683580160141","0.07249230146408081","8640","8640","8640"
