"train/epoch","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_linf_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX"
"35","0.11931215226650238","0.11556404829025269","0.124689981341362","3456","3456","3456","0.13489123433828354","0.12923882901668549","0.14191924035549164","3456","3456","3456"
"36","0.12067226506769657","0.11666199564933777","0.12611253559589386","3552","3552","3552","0.13630405813455582","0.13048401474952698","0.1433223932981491","3552","3552","3552"
"37","0.12211895734071732","0.11791305243968964","0.1278311312198639","3648","3648","3648","0.13765092194080353","0.13217845559120178","0.14424079656600952","3648","3648","3648"
"38","0.1234962921589613","0.11898431926965714","0.12917476892471313","3744","3744","3744","0.13892390206456184","0.13358399271965027","0.14502789080142975","3744","3744","3744"
"39","0.12490878440439701","0.12019221484661102","0.13097727298736572","3840","3840","3840","0.14042772725224495","0.13520334661006927","0.14617079496383667","3840","3840","3840"
"40","0.12647351995110512","0.12178166210651398","0.13267529010772705","3936","3936","3936","0.14170610904693604","0.13639883697032928","0.14753803610801697","3936","3936","3936"
"41","0.12797073647379875","0.12347427010536194","0.13419634103775024","4032","4032","4032","0.1432061269879341","0.13805878162384033","0.1490849256515503","4032","4032","4032"
"42","0.12935730814933777","0.12540602684020996","0.13546454906463623","4128","4128","4128","0.14464524760842323","0.13984650373458862","0.15030738711357117","4128","4128","4128"
"43","0.13080637529492378","0.1263880729675293","0.13718287646770477","4224","4224","4224","0.1459408737719059","0.14093399047851562","0.15150244534015656","4224","4224","4224"
"44","0.13219253346323967","0.12812182307243347","0.13848115503787994","4320","4320","4320","0.14716093242168427","0.14232800900936127","0.15262116491794586","4320","4320","4320"
"45","0.13362641632556915","0.1297699213027954","0.1399390995502472","4416","4416","4416","0.1485271453857422","0.14376093447208405","0.15386304259300232","4416","4416","4416"
"46","0.13510075584053993","0.1311662197113037","0.14162209630012512","4512","4512","4512","0.15011873468756676","0.1457761973142624","0.15501487255096436","4512","4512","4512"
"47","0.13647277280688286","0.13261058926582336","0.1428665965795517","4608","4608","4608","0.15139442309737206","0.14727291464805603","0.15594691038131714","4608","4608","4608"
"48","0.1379709579050541","0.1336880326271057","0.1443556845188141","4704","4704","4704","0.15291069447994232","0.14879977703094482","0.15751656889915466","4704","4704","4704"
"49","0.13933239877223969","0.13508453965187073","0.14574995636940002","4800","4800","4800","0.1542035974562168","0.1500702202320099","0.1586495190858841","4800","4800","4800"
"50","0.1409391425549984","0.1365426480770111","0.14734520018100739","4896","4896","4896","0.15576263517141342","0.15172113478183746","0.16013237833976746","4896","4896","4896"
"51","0.1424376778304577","0.13811251521110535","0.148931086063385","4992","4992","4992","0.15715695545077324","0.15262721478939056","0.1615007519721985","4992","4992","4992"
"52","0.14396262168884277","0.1394881308078766","0.1504538655281067","5088","5088","5088","0.15830248966813087","0.15336525440216064","0.1625310629606247","5088","5088","5088"
"53","0.14542323723435402","0.14079704880714417","0.1517246663570404","5184","5184","5184","0.15960531309247017","0.1545269787311554","0.16379414498806","5184","5184","5184"
"54","0.1469721570611","0.14242368936538696","0.1535687893629074","5280","5280","5280","0.16105231642723083","0.1563420295715332","0.1653500497341156","5280","5280","5280"
"55","0.1485619768500328","0.14428959786891937","0.15513093769550323","5376","5376","5376","0.16214673966169357","0.15752188861370087","0.16651670634746552","5376","5376","5376"
"56","0.1500839814543724","0.14557911455631256","0.1569225788116455","5472","5472","5472","0.1634935848414898","0.15887069702148438","0.16758397221565247","5472","5472","5472"
"57","0.15166335925459862","0.14751192927360535","0.15840542316436768","5568","5568","5568","0.16480838134884834","0.16006918251514435","0.1688155233860016","5568","5568","5568"
"58","0.15309997648000717","0.14888611435890198","0.15981225669384003","5664","5664","5664","0.16612288728356361","0.16177982091903687","0.1700631082057953","5664","5664","5664"
"59","0.1544317491352558","0.15041396021842957","0.16100779175758362","5760","5760","5760","0.1674865148961544","0.16293062269687653","0.17152976989746094","5760","5760","5760"
"60","0.15571581944823265","0.1517297923564911","0.16192688047885895","5856","5856","5856","0.16890612617135048","0.16443857550621033","0.17250202596187592","5856","5856","5856"
"61","0.15716523677110672","0.15298911929130554","0.1635311245918274","5952","5952","5952","0.17008307948708534","0.1656172126531601","0.1737912893295288","5952","5952","5952"
"62","0.15847459435462952","0.15448826551437378","0.16504712402820587","6048","6048","6048","0.17164567485451698","0.16729295253753662","0.17566052079200745","6048","6048","6048"
"63","0.15992244705557823","0.15573321282863617","0.16650640964508057","6144","6144","6144","0.1730010062456131","0.16836078464984894","0.17716428637504578","6144","6144","6144"
"64","0.1613602451980114","0.15754930675029755","0.16783706843852997","6240","6240","6240","0.17450813204050064","0.16994570195674896","0.1784576177597046","6240","6240","6240"
"65","0.16269421949982643","0.15886729955673218","0.16914160549640656","6336","6336","6336","0.17611241713166237","0.1715116798877716","0.1799403727054596","6336","6336","6336"
"66","0.16399667039513588","0.1602928638458252","0.17072059214115143","6432","6432","6432","0.17731256037950516","0.17249971628189087","0.18117602169513702","6432","6432","6432"
"67","0.16491933912038803","0.16116484999656677","0.17149391770362854","6528","6528","6528","0.1790485791862011","0.17430245876312256","0.18269486725330353","6528","6528","6528"
"68","0.1666233129799366","0.16267254948616028","0.17350232601165771","6624","6624","6624","0.1802857108414173","0.17601615190505981","0.18349164724349976","6624","6624","6624"
"69","0.16811295226216316","0.16444969177246094","0.1748376041650772","6720","6720","6720","0.18169843405485153","0.17756958305835724","0.18487805128097534","6720","6720","6720"
"70","0.16936100646853447","0.16552290320396423","0.17608776688575745","6816","6816","6816","0.18319892510771751","0.17907151579856873","0.18662959337234497","6816","6816","6816"
"71","0.1706208474934101","0.16634774208068848","0.17747655510902405","6912","6912","6912","0.18459582701325417","0.18057967722415924","0.18797875940799713","6912","6912","6912"
"72","0.1720212735235691","0.16752226650714874","0.17879831790924072","7008","7008","7008","0.18587606400251389","0.18205514550209045","0.188820481300354","7008","7008","7008"
"73","0.17325306683778763","0.16892293095588684","0.18007908761501312","7104","7104","7104","0.18743476271629333","0.1838049590587616","0.19012276828289032","7104","7104","7104"
"74","0.17451249808073044","0.17041349411010742","0.18160711228847504","7200","7200","7200","0.18877405673265457","0.18502555787563324","0.19158881902694702","7200","7200","7200"
"75","0.1760525293648243","0.17238636314868927","0.18305164575576782","7296","7296","7296","0.19010882824659348","0.18623483180999756","0.1928635835647583","7296","7296","7296"
"76","0.17722898349165916","0.17324411869049072","0.18427538871765137","7392","7392","7392","0.19090652093291283","0.18699009716510773","0.19383874535560608","7392","7392","7392"
"77","0.17851978540420532","0.17484717071056366","0.18545392155647278","7488","7488","7488","0.1919429861009121","0.18771108984947205","0.1954907476902008","7488","7488","7488"
"78","0.1797233335673809","0.17567811906337738","0.186649888753891","7584","7584","7584","0.1929141767323017","0.1888175904750824","0.19619077444076538","7584","7584","7584"
"79","0.180813480168581","0.17698252201080322","0.18760018050670624","7680","7680","7680","0.19350166246294975","0.1893341839313507","0.19687581062316895","7680","7680","7680"
"80","0.18186673149466515","0.17778389155864716","0.18845289945602417","7776","7776","7776","0.1942477785050869","0.18985167145729065","0.19788894057273865","7776","7776","7776"
"81","0.18323258683085442","0.17910274863243103","0.18916714191436768","7872","7872","7872","0.19511562585830688","0.1907118856906891","0.19935953617095947","7872","7872","7872"
"82","0.1844085045158863","0.18015547096729279","0.19038166105747223","7968","7968","7968","0.19604341685771942","0.1917402446269989","0.2003422975540161","7968","7968","7968"
"83","0.1854860745370388","0.1810208261013031","0.19138389825820923","8064","8064","8064","0.1964305341243744","0.19206905364990234","0.20077082514762878","8064","8064","8064"
"84","0.18668554723262787","0.18199749290943146","0.19266918301582336","8160","8160","8160","0.1971629299223423","0.1928052306175232","0.20161154866218567","8160","8160","8160"
"85","0.1876121163368225","0.18313449621200562","0.19328223168849945","8256","8256","8256","0.19784744083881378","0.19331282377243042","0.2024320811033249","8256","8256","8256"
"86","0.18866538628935814","0.18385440111160278","0.19458453357219696","8352","8352","8352","0.1985895335674286","0.19368064403533936","0.20331335067749023","8352","8352","8352"
"87","0.1898152083158493","0.1850275695323944","0.19578711688518524","8448","8448","8448","0.19946734234690666","0.19425570964813232","0.20447127521038055","8448","8448","8448"
"88","0.19096767529845238","0.18581631779670715","0.19681012630462646","8544","8544","8544","0.20016226917505264","0.19511358439922333","0.2052568942308426","8544","8544","8544"
"89","0.19145028665661812","0.18619698286056519","0.19704410433769226","8640","8640","8640","0.20079244300723076","0.19605286419391632","0.2056705802679062","8640","8640","8640"
