"train/epoch","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.05-group - _step__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - model/param_rms_norm__MAX","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MIN","Group: alexnet-pretrain-adam-finetune-muon-lr0.0001-preratio0.01-group - _step__MAX"
"10","3.110156238079071","3.1065831184387207","3.116323471069336","1056","1056","1056","3.1232088208198547","3.1195569038391113","3.130305051803589","1056","1056","1056"
"11","3.122287690639496","3.1191389560699463","3.1275157928466797","1152","1152","1152","3.1378653049468994","3.1330647468566895","3.1459341049194336","1152","1152","1152"
"12","3.1341840624809265","3.1311569213867188","3.1391589641571045","1248","1248","1248","3.15184223651886","3.147411346435547","3.1597673892974854","1248","1248","1248"
"13","3.145326316356659","3.1425063610076904","3.1504011154174805","1344","1344","1344","3.1655322909355164","3.160839080810547","3.1740188598632812","1344","1344","1344"
"14","3.1558136343955994","3.152515411376953","3.161010265350342","1440","1440","1440","3.17942613363266","3.17464017868042","3.1887593269348145","1440","1440","1440"
"15","3.1657893657684326","3.161999464035034","3.170820951461792","1536","1536","1536","3.1922448873519897","3.1866612434387207","3.201659679412842","1536","1536","1536"
"16","3.174850821495056","3.17038631439209","3.1805620193481445","1632","1632","1632","3.204084575176239","3.1976418495178223","3.2139530181884766","1632","1632","1632"
"17","3.1832882165908813","3.17948317527771","3.1885337829589844","1728","1728","1728","3.2156283259391785","3.2083771228790283","3.2256484031677246","1728","1728","1728"
"18","3.190988063812256","3.1869826316833496","3.19594144821167","1824","1824","1824","3.2262641191482544","3.218240261077881","3.2378249168395996","1824","1824","1824"
"19","3.1978424787521362","3.1933670043945312","3.204058885574341","1920","1920","1920","3.23561555147171","3.2272591590881348","3.247117519378662","1920","1920","1920"
"20","3.204131007194519","3.198859691619873","3.209988594055176","2016","2016","2016","3.2451221346855164","3.2357425689697266","3.2576675415039062","2016","2016","2016"
"21","3.2099005579948425","3.2040963172912598","3.217404842376709","2112","2112","2112","3.2533106207847595","3.2440502643585205","3.264575719833374","2112","2112","2112"
"22","3.2152531147003174","3.2094826698303223","3.2232484817504883","2208","2208","2208","3.2608537077903748","3.251575469970703","3.272599458694458","2208","2208","2208"
"23","3.2206212878227234","3.21464204788208","3.228178024291992","2304","2304","2304","3.26780903339386","3.2574100494384766","3.280034065246582","2304","2304","2304"
"24","3.2255853414535522","3.2192912101745605","3.233307361602783","2400","2400","2400","3.273816227912903","3.2635769844055176","3.2863082885742188","2400","2400","2400"
"25","3.229551672935486","3.2230939865112305","3.2371315956115723","2496","2496","2496","3.2804306745529175","3.2699623107910156","3.2932066917419434","2496","2496","2496"
"26","3.2337304949760437","3.2269234657287598","3.2416975498199463","2592","2592","2592","3.286264181137085","3.2772183418273926","3.2986154556274414","2592","2592","2592"
"27","3.237669825553894","3.230412006378174","3.2463109493255615","2688","2688","2688","3.2913272380828857","3.282205104827881","3.3030877113342285","2688","2688","2688"
"28","3.2416622042655945","3.234285593032837","3.2504868507385254","2784","2784","2784","3.2968143820762634","3.2878611087799072","3.3083529472351074","2784","2784","2784"
"29","3.2455124855041504","3.2387800216674805","3.25386118888855","2880","2880","2880","3.3015573024749756","3.2925825119018555","3.313497543334961","2880","2880","2880"
"30","3.2495051622390747","3.2426180839538574","3.258303642272949","2976","2976","2976","3.3062360882759094","3.2983322143554688","3.3175549507141113","2976","2976","2976"
"31","3.2534632682800293","3.245990514755249","3.2627205848693848","3072","3072","3072","3.3105055689811707","3.301900863647461","3.322652578353882","3072","3072","3072"
"32","3.256388306617737","3.248764991760254","3.2654740810394287","3168","3168","3168","3.3141278624534607","3.3055269718170166","3.325899124145508","3168","3168","3168"
"33","3.2594961524009705","3.2524073123931885","3.2683727741241455","3264","3264","3264","3.3182615637779236","3.310823678970337","3.329514265060425","3264","3264","3264"
"34","3.2628477215766907","3.2555603981018066","3.2721974849700928","3360","3360","3360","3.3220033645629883","3.3139655590057373","3.3342576026916504","3360","3360","3360"
"35","3.2659098505973816","3.258683204650879","3.2747976779937744","3456","3456","3456","3.3254955410957336","3.3175430297851562","3.337540626525879","3456","3456","3456"
"36","3.269323706626892","3.2615914344787598","3.278012752532959","3552","3552","3552","3.3287421464920044","3.3209164142608643","3.3406291007995605","3552","3552","3552"
"37","3.2723385095596313","3.2644143104553223","3.2813172340393066","3648","3648","3648","3.3313050270080566","3.3228254318237305","3.3439064025878906","3648","3648","3648"
"38","3.27551531791687","3.2676939964294434","3.2854089736938477","3744","3744","3744","3.3343825936317444","3.3249757289886475","3.347771644592285","3744","3744","3744"
"39","3.2791208028793335","3.271077871322632","3.288271903991699","3840","3840","3840","3.337471306324005","3.328874111175537","3.351793050765991","3840","3840","3840"
"40","3.281789243221283","3.273350477218628","3.2908034324645996","3936","3936","3936","3.3401187658309937","3.3320884704589844","3.3538200855255127","3936","3936","3936"
"41","3.284144937992096","3.275272846221924","3.2934467792510986","4032","4032","4032","3.342065393924713","3.334120035171509","3.355780601501465","4032","4032","4032"
"42","3.287018060684204","3.2787132263183594","3.296117067337036","4128","4128","4128","3.3445088267326355","3.336906909942627","3.358227491378784","4128","4128","4128"
"43","3.289787471294403","3.2808737754821777","3.3000736236572266","4224","4224","4224","3.347143054008484","3.3390257358551025","3.3613500595092773","4224","4224","4224"
"44","3.2919363379478455","3.2829484939575195","3.3022563457489014","4320","4320","4320","3.3496503829956055","3.341520309448242","3.3625941276550293","4320","4320","4320"
"45","3.293884754180908","3.28505802154541","3.303791046142578","4416","4416","4416","3.3518316745758057","3.344182014465332","3.3655824661254883","4416","4416","4416"
"46","3.2963064908981323","3.2883598804473877","3.305328845977783","4512","4512","4512","3.353950619697571","3.3461546897888184","3.367121458053589","4512","4512","4512"
"47","3.299118995666504","3.2908754348754883","3.3084239959716797","4608","4608","4608","3.3554362654685974","3.3478009700775146","3.3690054416656494","4608","4608","4608"
"48","3.301230013370514","3.292955160140991","3.3117880821228027","4704","4704","4704","3.3579075932502747","3.3498220443725586","3.371792793273926","4704","4704","4704"
"49","3.303220570087433","3.2947239875793457","3.3135898113250732","4800","4800","4800","3.359893798828125","3.351874828338623","3.3736939430236816","4800","4800","4800"
"50","3.3053407669067383","3.2967138290405273","3.3159613609313965","4896","4896","4896","3.362266480922699","3.3543248176574707","3.375904083251953","4896","4896","4896"
"51","3.3075859546661377","3.299159526824951","3.317758083343506","4992","4992","4992","3.364083766937256","3.356731414794922","3.3776650428771973","4992","4992","4992"
"52","3.310364007949829","3.3014988899230957","3.320216655731201","5088","5088","5088","3.3652132749557495","3.3580169677734375","3.378406524658203","5088","5088","5088"
"53","3.311957538127899","3.3039169311523438","3.3219616413116455","5184","5184","5184","3.3662607669830322","3.3585963249206543","3.379666328430176","5184","5184","5184"
"54","3.314001739025116","3.3062760829925537","3.3233094215393066","5280","5280","5280","3.3681995272636414","3.360424041748047","3.3809542655944824","5280","5280","5280"
"55","3.316426157951355","3.308704376220703","3.325995445251465","5376","5376","5376","3.369775652885437","3.361752510070801","3.382200241088867","5376","5376","5376"
"56","3.318696618080139","3.310884475708008","3.327836513519287","5472","5472","5472","3.371294915676117","3.3644022941589355","3.382824420928955","5472","5472","5472"
"57","3.320550322532654","3.3138437271118164","3.32875919342041","5568","5568","5568","3.373369336128235","3.3652758598327637","3.3862481117248535","5568","5568","5568"
"58","3.3223938941955566","3.3157126903533936","3.3305747509002686","5664","5664","5664","3.374882996082306","3.3670341968536377","3.387080192565918","5664","5664","5664"
"59","3.3246383666992188","3.3178062438964844","3.333406448364258","5760","5760","5760","3.3766101598739624","3.368884563446045","3.388042449951172","5760","5760","5760"
"60","3.326748847961426","3.320150375366211","3.335193395614624","5856","5856","5856","3.3782623410224915","3.3702335357666016","3.388986587524414","5856","5856","5856"
"61","3.3282090425491333","3.3207387924194336","3.337345600128174","5952","5952","5952","3.3796520233154297","3.3720932006835938","3.390131950378418","5952","5952","5952"
"62","3.3304184079170227","3.3236591815948486","3.3398687839508057","6048","6048","6048","3.3813945651054382","3.37349271774292","3.391878604888916","6048","6048","6048"
"63","3.3325204253196716","3.324453830718994","3.342717409133911","6144","6144","6144","3.3831446766853333","3.37567400932312","3.3939096927642822","6144","6144","6144"
"64","3.3345224261283875","3.3261756896972656","3.3441131114959717","6240","6240","6240","3.3851489424705505","3.3772504329681396","3.396376132965088","6240","6240","6240"
"65","3.336663246154785","3.3280563354492188","3.346379280090332","6336","6336","6336","3.386440873146057","3.379042148590088","3.3975629806518555","6336","6336","6336"
"66","3.338723659515381","3.3304543495178223","3.3482041358947754","6432","6432","6432","3.38804167509079","3.3811380863189697","3.399176836013794","6432","6432","6432"
"67","3.3415157794952393","3.333712339401245","3.351105213165283","6528","6528","6528","3.390398323535919","3.383690357208252","3.401500940322876","6528","6528","6528"
"68","3.3435527682304382","3.335453510284424","3.35313081741333","6624","6624","6624","3.3923251628875732","3.3853507041931152","3.40346097946167","6624","6624","6624"
"69","3.3457176089286804","3.3380842208862305","3.355123996734619","6720","6720","6720","3.3946787118911743","3.3874764442443848","3.405856132507324","6720","6720","6720"
"70","3.3481268882751465","3.3402771949768066","3.356675386428833","6816","6816","6816","3.3971436619758606","3.3897013664245605","3.408036947250366","6816","6816","6816"
"71","3.349900484085083","3.342242479324341","3.3578739166259766","6912","6912","6912","3.399178206920624","3.3906126022338867","3.410909652709961","6912","6912","6912"
"72","3.3523083925247192","3.344787359237671","3.3598899841308594","7008","7008","7008","3.4015336632728577","3.3938958644866943","3.4133851528167725","7008","7008","7008"
"73","3.354967713356018","3.347344160079956","3.362797975540161","7104","7104","7104","3.404577374458313","3.3966784477233887","3.4152421951293945","7104","7104","7104"
"74","3.357545554637909","3.349595546722412","3.3650150299072266","7200","7200","7200","3.4075518250465393","3.3993031978607178","3.419755697250366","7200","7200","7200"
"75","3.359848737716675","3.3519186973571777","3.367424488067627","7296","7296","7296","3.41052109003067","3.4021315574645996","3.4233345985412598","7296","7296","7296"
"76","3.3629229068756104","3.354074478149414","3.3704628944396973","7392","7392","7392","3.412846624851227","3.4048075675964355","3.4244179725646973","7392","7392","7392"
"77","3.3653323650360107","3.357003927230835","3.372918128967285","7488","7488","7488","3.415191411972046","3.4076266288757324","3.4260830879211426","7488","7488","7488"
"78","3.368433952331543","3.359787940979004","3.3763813972473145","7584","7584","7584","3.418239176273346","3.410727024078369","3.4289402961730957","7584","7584","7584"
"79","3.371057868003845","3.3628716468811035","3.3787686824798584","7680","7680","7680","3.4203063249588013","3.413431167602539","3.4309229850769043","7680","7680","7680"
"80","3.3732773065567017","3.3649048805236816","3.3816118240356445","7776","7776","7776","3.4226372838020325","3.4165003299713135","3.432769775390625","7776","7776","7776"
"81","3.375541627407074","3.3679165840148926","3.3838577270507812","7872","7872","7872","3.425178050994873","3.4197945594787598","3.4347033500671387","7872","7872","7872"
"82","3.37862890958786","3.3712916374206543","3.386760711669922","7968","7968","7968","3.427820920944214","3.4223899841308594","3.436863422393799","7968","7968","7968"
"83","3.3813191056251526","3.373627185821533","3.3899083137512207","8064","8064","8064","3.429725408554077","3.4235386848449707","3.4384660720825195","8064","8064","8064"
"84","3.384047269821167","3.376809597015381","3.392087459564209","8160","8160","8160","3.43195116519928","3.426560878753662","3.441147804260254","8160","8160","8160"
"85","3.386319935321808","3.37851619720459","3.394285202026367","8256","8256","8256","3.433947503566742","3.428706645965576","3.442991256713867","8256","8256","8256"
"86","3.3889551758766174","3.380955696105957","3.397083282470703","8352","8352","8352","3.4363386034965515","3.4307644367218018","3.4455106258392334","8352","8352","8352"
"87","3.3913291096687317","3.383606433868408","3.399496555328369","8448","8448","8448","3.4385687708854675","3.4329957962036133","3.4482295513153076","8448","8448","8448"
"88","3.394023358821869","3.3863468170166016","3.401872158050537","8544","8544","8544","3.4405991435050964","3.4354348182678223","3.4506025314331055","8544","8544","8544"
"89","3.3956839442253113","3.3869590759277344","3.404423236846924","8640","8640","8640","3.4431260228157043","3.4366726875305176","3.4532957077026367","8640","8640","8640"
